,video,predict_label
1,-7Wz9S-ZZz4,0
2,-a1f1ikmdd8,0
4,-bGVnGCy2yY,0
5,-BrNqmFy-6Y,0
6,-CsBjy8T-II,0
11,-J8jfO0Fp6M,0
12,-JdfkIKg0w4,0
15,-RCv-107T5w,0
16,-rhOaNjvwWo,0
17,-rhOXmTJT1M,0
21,-WKQMew6YXw,0
23,-XzpQxfVypI,0
25,-YNvdGOXdgY,0
27,08JqXh8jCgk,0
28,08rpQkUQbvw,0
31,0C8JJ81ZwEo,0
32,0d5XD9WhEP0,0
33,0DHdxqytNTo,0
39,0KYmumDwiGU,0
45,0puIOKy4jTE,0
46,0QEafK0vs4s,0
47,0RZSizLlFO8,0
48,0UgFrDWe4vQ,0
49,0uhHtEYtwM4,0
51,0y35qvIv7QI,0
52,0ybdAFMWX3E,0
53,0zhxmF-4sns,0
54,0zM4uNeGHCw,0
55,124qYLNjhuc,0
56,12PkVvvdm84,0
58,14ZQYMvwD04,0
60,178nlUMIuMg,0
62,1BDSqOVwlkE,0
63,1dEccb97aiM,0
65,1K1jd5c63VI,0
66,1mJbRuYjPDI,0
71,1q6YZsK4je8,0
72,1RPMJLJSAPI,0
73,1TItOYu2ugM,0
74,1tybdYSPNKs,0
75,1WHWA79aRko,0
79,27tui31Caks,0
80,298yI5LPEyE,0
83,2bS7Zu9FQA0,0
84,2C6-PvcrNe8,0
85,2Cp9SekzsuY,0
87,2DltR-EtwLI,0
91,2iUpLcGzFmA,0
95,2MjKCcjTktw,0
97,2oqA65F2ZWE,0
98,2pIg3TM2dQ8,0
102,2t75Cc43IwY,0
103,2t9DLmzt1IM,0
106,2z5Deg2fbNw,0
107,2Zr0VcQnQcs,0
109,36K0RLO8Hos,0
110,36SaGOCeFio,0
112,38KdiUtaHQc,0
114,3A10pmLRjHg,0
117,3dCwAX2KIgc,0
119,3FeBymcEex4,0
121,3ISacnoC4Z0,0
122,3iSsKJGRflc,0
123,3ix2qbRgLO4,0
124,3j4qATfX0xw,0
125,3jHZSHyqEiY,0
126,3kaNvFf9gQs,0
128,3nPyAG-RbJg,0
130,3OhmIirXi48,0
131,3OJaELmtCMk,0
138,3wkPtqbqhYw,0
139,3WnGZEI3ZQw,0
143,3Y4-06HU62Y,0
144,3z3ZFBlTOec,0
145,4-zRuTD8SwA,0
146,49AWt9CMawo,0
149,4eQyOk7oMPk,0
151,4Fq5o1ZNd8o,0
155,4Lk3NrQSWlU,0
160,4PVuzPJdnis,0
167,4XFNlK65z4M,0
171,4YZDZn5CwGM,0
172,5-LGYQSwO68,0
173,5-Q0k532xSA,0
176,59kT9Fjl0Fg,0
181,5DyLif-rR5g,0
184,5HfGynid66c,0
186,5JRfjom8ugw,0
187,5kJjDQgHGS8,0
190,5pHbE-D6-dA,0
191,5s-esJYUWTA,0
192,5sDNvA2csC0,0
194,5v5866cwMfU,0
195,5Wp2dxIAocI,0
197,5YbWyeOy5SE,0
199,60f2XDHd2GM,0
200,62HjZ1-LGDo,0
210,6gRQUYwWdhg,0
211,6hrI0-Zku9I,0
212,6i1aG-QKEgc,0
214,6jzjWVjILtk,0
215,6kPnyQho3Ok,0
218,6NssAegRUeM,0
220,6O9ePTSIchY,0
221,6OPYSB6CEtQ,0
223,6QMv1g1-FR0,0
225,6Uq424n7xDc,0
227,6zaIv0FxewI,0
228,7-2otHZ4wuk,0
229,7-kRfNShWus,0
231,72vAM2L477g,0
234,7A7dcxuJGRE,0
235,7aoMSiH8iVA,0
237,7CtuYX5zFHQ,0
239,7KW60DBl06I,0
240,7l17Cja4yC4,0
241,7m5PbebjLYE,0
244,7P9hcCbZxuQ,0
245,7pnE8AX-hmQ,0
247,7UUC3uaO4ko,0
249,7zMBk9Zu9fY,0
250,7ZyOXj5TNew,0
251,80j67KA3rFI,0
253,80lIl5p29Dk,0
259,89D1a0uqGbw,0
261,8DBqtnmHXOk,0
265,8j7TT3WqN3Y,0
266,8jh1rUGH3Bo,0
267,8N9fLvAXoWQ,0
268,8nFxM29xbQ4,0
271,8QcFT468RuM,0
273,8wgyW5QKpHQ,0
274,8wYBDwzjzz4,0
280,93bCfxFD79U,0
282,98AaKRNzrRg,0
283,9a1aXDMReNw,0
286,9aroXH1KsKg,0
288,9Cuxuo7D57g,0
289,9dC8anfdz6A,0
290,9ekbj-O6Mno,0
291,9Gb-zye7lF0,0
292,9HnS1VNGYq8,0
293,9IzPRdrCZJc,0
294,9l5Ux6H5AFE,0
295,9L72SQArZGc,0
296,9lexUVoodXI,0
297,9LMDGPQ-K9M,0
298,9nFZnrFaYKg,0
299,9o9lrFVw834,0
301,9tBildM84d8,0
302,9TJDt-ZtRBU,0
303,9uDd0fAgb08,0
304,9uMNo3fIZ78,0
305,9uuvSn1-PE8,0
306,9uXcD4PQYeg,0
317,A7WyrhHMpT8,0
318,aarrTRAjJ6I,0
319,Aaz9-GrU-QE,319
323,ae9D1u1Lxcw,0
325,afJdwOmQPrE,0
327,ag2wCXCGFTE,0
333,aJM7b7T32L4,0
336,aKEzIlfJi-Q,0
338,almHBscCXfU,0
339,AlT9hcynIpc,0
340,ALYO-F70Xto,0
345,AoDTLSagIuc,0
347,aRm3QKasV2M,0
348,aSvtZIXG848,0
351,AVmBcAYvWjo,0
352,AWjX1Uj4KV8,0
353,AxEwrLRgLHE,0
355,aYfcnsz1bCQ,0
356,ayNZLcWOcvg,0
357,AYvCm0hYG6Y,0
360,b-J9MnOYixI,0
361,b-NIXeDEIx8,0
362,b044lRu1IcQ,0
363,b4DfEP37L60,0
364,b9-9vfwjzak,0
365,Ba4puMsRrIk,0
367,BBcytrIoZr4,0
372,BiLfn6uDuek,0
373,BIY4jeVIV9s,0
374,BkAKm3Un3Hw,0
375,BkSiupb6iPQ,0
376,bKSqa77KmVg,0
378,bmafzrlAA-I,0
380,bnMDFelOmAE,0
381,bO1MW9Lq9Sg,0
383,bp4KGWY8ScU,0
384,bPDZPIH43E8,0
385,bQaeauVTQ-o,0
386,bR1uFoLr6o8,0
387,brBtTlxKUJ0,0
390,BVA1iRclWPc,0
391,bvzQeEV6kwQ,0
393,bx9Kv26UM5I,0
394,BY3Vdi5sUHk,0
396,byt7nsP3zoM,0
397,bz7ekc7DLGU,0
401,C0-vQk1UgfE,0
402,C0fjccjmlUA,0
403,C0VrHUpbM7s,0
405,c9dZeGZcCVE,0
407,CBh5okWSMNk,0
408,cbXWdoyxGi8,0
409,CcNUH60IqzU,0
412,CDcejc2OOyo,0
413,CdkFyAObg2k,0
415,cesRP7rVPJ8,0
417,cGhHPAyocR4,0
418,CGi7rjiw4SQ,0
421,cId0bHuj92A,0
422,Cilb3IKrdRE,0
423,CIrujNq55Lg,0
424,cjKTSxO-Dc4,0
425,cki8U1it19c,0
426,ckRxQpnR2ZE,0
430,cmt98ij4F5A,0
431,cMYLkTxaeRc,0
432,CoErwthj850,0
435,cPGpoZ4C3qc,0
440,cR3RgGswY8Y,0
441,crfcu0-LXI8,0
443,cTqSfm5bsQM,0
444,cU12AHgjpSA,0
445,cv6jYz5UbkA,0
447,cw-ojtL78-I,0
449,cY8iKpWF4SM,0
450,cyhyZzv7eKI,0
453,D-GLu-vwLJo,0
455,D1AwWLFX2dw,0
456,d1ubwKHoBgA,0
459,D3VLg36MsJs,0
460,D56zy7PVmNg,0
463,D6QKof-sWxE,0
464,DcYUvDGDQUc,0
466,DeKq81wMSiM,0
467,DFfUEbj8NRA,0
468,DFJD0i5fESQ,0
470,dGSSMlvko7Q,0
472,dIegqnfLbLo,0
473,dipSTmBm9yk,0
475,dKbXSHRu7Rw,0
477,Dm4J7z95-bA,0
478,DN9jxrXscYU,0
479,dO0MP1mQhu0,0
482,dQJyqvockKU,0
483,dqVYCc5e-PI,0
487,DV7Tl6LxzXM,0
491,DwPEZeX5WkA,0
492,dwvHDwWfMig,0
493,dxguOEeQjEA,0
498,dZjDGVotpJo,0
499,dZNl88kVDws,0
501,dzVgFqUtlyQ,0
503,e-oEwSE52pc,0
506,E4yhch6-634,0
507,E6OwGySJA9E,0
513,ecnNI6Jmi48,0
514,EdUFw47A0lk,0
516,EEmux8iila8,0
519,eIa0WpNi1qc,0
520,eiLqUll-4fQ,0
523,eKbask3AfPE,0
524,EkLF1X2LUQ0,0
525,EL1Z4iAO2Bw,0
529,eo2QFniX4dg,0
530,eoB8swFN8jw,0
532,eOMSDtlNkRU,0
533,EoOMzJkHX3M,0
535,ePMptyICoSA,0
537,EPuqSs90NZ0,0
540,EqLYhvIXtzw,0
543,eSbQet2JWkc,0
544,ESvia6cj2Ag,0
545,ET5ZgDI4TOQ,0
546,eTA2EqE30KY,0
547,EtRis3E6Lqc,0
548,EtrVKpm-dqw,0
551,Ev08RdZrOLk,0
553,eVHIkaXjYjQ,0
557,EzXAge5oiak,0
558,F-pI4qT9cPU,0
560,F13auElofEo,0
561,F2tCYO6wLUQ,0
562,F3voVXiYVM8,0
565,f7-bsNBElQQ,0
566,f8vTa83Jxw8,0
569,FawFBMekhYo,0
572,Fcx-0qs1gBY,0
573,Fcy3XSBWKy4,0
576,fDzun9daO4E,0
577,FeEPLDGLUnc,0
578,feHwcjc3XLs,0
579,ffx1Ndf-R20,0
581,FHOjWagWqrY,0
584,fiwwvVV4mPo,0
586,FjOTOmFKrpw,0
587,FjP6QisjGGc,0
590,fn3hWtXRsgs,0
593,fOaoL2QL41U,0
594,FODDc40op38,0
596,fp9p3wzZq1U,0
597,FpGiysTWYQE,0
603,FQnuWSxclgk,0
605,frs-mG0elHE,0
606,fSM3tpsiVqI,0
609,FUjnhcsLwAE,0
613,fwX3dfWjonw,613
617,FYUNe8Al-W4,0
619,g1JdMyOcQyA,0
620,g31yesfuu38,0
621,G48WzPLG6VE,0
622,g5J16uiQgP4,0
626,gbTcY7xlFoQ,0
627,GBVoMU1TtwM,0
632,ghDzHwQNAXo,0
633,GhmY9zxJyeo,0
634,gHtidoznBw8,0
636,gjvlCBnaKEw,0
638,gLSF0p1Ejrg,0
639,gNQyjpfDBoA,0
641,Gnx2exDPeVk,0
643,gPHKLdxZnfo,0
647,grrw2O1OM4w,0
648,gRXsDloQLn8,0
649,gS7lfTI0ZVU,0
655,gWEtrHOsV1s,0
658,GxNKJBX-icc,0
659,gXQlH8rNfAE,0
660,GzPfO1TmVL4,0
663,h1DM-zgSetM,0
664,h6muYsNVvCQ,0
667,h8Hx352kQv4,0
670,haJwxtWFUGU,0
671,HB5ytItJ34M,0
673,hBlOKmcBZos,0
674,hCQf7DVO-C4,0
675,HdUD223mIdA,0
681,HHSxme6Ch6E,0
687,hQOWjQwwl6U,0
688,hRxYxfw6Pxo,0
689,HS2zNE7CiM8,0
690,HT-WXXfjDos,0
691,hu4SamVgZHc,0
694,hxYoVlUEmZA,0
695,hY5ls-io5FI,0
696,HZ3OQL7ZYJg,0
697,hZP4OICnrdw,0
699,I1SiYRG1d3A,0
702,i5SB-qVexgA,0
703,I7SNSnK9nks,0
704,i8EJnqGvAsM,0
705,IA9Mser8Qsk,0
706,IBavKm9haxA,0
713,iDfsEGmt7WY,0
716,iezHQgZjY7E,0
721,IjObQUMDyPE,0
723,iMk80ygGD1U,0
726,iQ5WOKjiXc0,0
727,iRsPRD1ezMg,0
729,IwdcNQY7P7E,0
730,IWDtYgDAhxI,0
731,IX9sPL5IRP8,0
732,ixVsHqN2lpw,0
735,J03k9nCxnZ0,0
738,j3hEa-4x-X0,0
741,j6vCXXaD4HA,0
743,j9d7pFjTYd8,0
744,jafYqb1kAUw,0
745,JAFYzYY1Ons,0
747,JcBH9SNoTFA,0
748,Jfd0QyAkvHo,0
750,jFt8BE5TUfc,0
753,jHEKrLrdAf4,0
760,JOAKjYyi7Pg,0
763,JOXUTh0sy0M,0
766,JQitCfvl3uE,0
768,JQz9ci9Eqgo,0
770,jRQeoeEzvaA,0
771,JRTp6FTgsPE,0
772,jRxKleSYAoA,0
774,JvLjMT21Pyc,0
776,jVqFIlmyM9U,0
777,JwGdGM-JGaM,0
778,K1Kf82hOBDE,0
779,k1SWGdeOo9I,0
780,k1ulumxYBOk,0
782,K2XND9RTlGQ,0
783,K6oVoGChyjo,0
784,k7WDb3RQKS0,0
785,k9yfsoSEBOk,0
786,kAAisBxwF18,0
787,KaoFGg3JiSo,0
788,KbAQQ3OKVHc,0
792,Kct2NjXvUDg,0
793,kCywiplr3hk,0
795,KEFnxiRPBSg,795
796,KF8q4Ae73Ac,0
799,kgkcLpc7VH0,0
803,Ki7ixKUDaCM,0
804,KIaK6hKuYGI,0
805,Kj4v1bS6Ay4,0
806,KJ7hY0cd8eQ,0
808,kk2scSk-D2w,0
810,KKpZrKhoXOc,0
811,kKsOLjuycvo,0
814,KMgvnaaMLR4,0
815,KmRaGB9U2QI,0
818,kqr3fIEtZhA,0
820,ks79p33C05o,0
824,kVxw6wkWkSg,0
826,Kx4ckrZfVkQ,0
828,KXGXkrtTtG4,0
833,KzZJBNxbsAM,0
840,L7FbwQYB2pc,0
845,LD5rqnd-9bw,0
846,ldSML6q0QM8,0
847,lDzW8pxXK4c,0
848,ledkcLtlfOs,0
850,LIXzKy577Vg,0
851,lJ-G2St2LUk,0
854,ljXxv5IvJxU,0
858,ll5HZbecdG4,0
859,lmAo--7cBd8,0
861,lmrxiUVgBus,0
862,lMtCSbOgIGA,0
866,LojdQuaMqDo,0
869,lQL-iBS-KT0,0
872,LShdbSrPLA4,0
873,lSjgugPzEig,0
875,lUIPKtPu6RY,0
876,LuSiyakUP5E,0
877,LUsx9ElLHXY,0
878,LvPpvE-gJjM,0
880,lwqjdAlasm4,0
881,lWXC-Pbp1Kw,0
883,LxizvTYS8cE,0
886,m--B4hOqlQc,0
890,m2T9oEKLER4,0
894,M49puCl38Bc,0
895,m4OEqGZ97Mw,0
896,M5pPHLBH4RA,0
900,Mck5QX2NHSM,0
904,ME3QDc69Ea4,0
906,mfGxHn-j8Fg,0
907,mGK76vwXbho,0
908,mGP-3nf0biU,0
909,MgRU12wHgcs,0
911,Mhs77NGmZW8,0
913,MHUowHQ3HBA,0
915,mjG0SAL1Y60,0
916,mJYfgX5x8MI,0
918,mk3bJh4h348,0
920,mkoSd5SQ2RI,0
921,MN0IT8n68SM,0
922,MNhecK8WV-w,0
923,MNljTAwx-es,0
927,mPD2WAZcUaU,0
928,mpFAMP2Fx-Y,0
932,MUN0iw40Gtc,0
933,MvZfGebcfSE,0
934,mybPRZJm42g,0
935,MYZfKmnlRBk,0
936,mZunpUG8FxU,0
937,N-EATJoYnuU,0
943,NAm5m2G5QsE,0
945,Nbkzh-7UxNA,0
947,ner4eN63q5w,0
948,nEyJqYABo7E,0
949,nFBtafRWENw,0
950,nfFSa-2TRlk,0
952,nfMwCY1ZP3M,0
953,NFPNAOZKjKo,0
956,nhJu5HUMa84,0
957,nHtQ6aJOMF8,0
958,Ni6DqC0ms7k,958
959,NIWZQV88NWY,0
960,nJgyH8RGEAU,0
961,nJSvam29ZMk,0
962,Nl4O1NwET6k,0
964,NlBgPuxvo9I,0
965,nLc5V4tpxMI,0
966,nlitqDM40BE,0
969,No5Ir1SpkGE,0
970,nOcy2l2nZAw,0
972,nOtIl0H5h4c,0
973,noTmj22nfxE,0
975,Np1TeSZDyQM,0
976,NPjy5kjBaP4,0
977,nPl4lW2IwyQ,0
979,nRD-rf433-E,0
981,nS1FyEmPG98,0
982,nsgWjnYKOVs,0
983,nsJUBJhqo14,0
987,nvyR4DsTa3I,0
988,nw2O0bWuKsc,988
990,nWYQYQLzYiM,0
996,nzTIvZzkcAM,0
998,o3SApq6PKpI,0
999,O4-xvjKrLqk,0
1000,o46w6UV4BGs,0
1006,oaVWnxlQOeo,0
1009,OD-OYHFvhS4,0
1010,oesSMKWz8CY,0
1012,oG-lv1npw3k,0
1014,ohLm1Ibpw1g,0
1015,oHskg6ldq5Q,0
1017,OlQGqa711SU,1017
1018,om5DH9Mzneg,0
1019,omEdIp3xpSM,0
1020,OnNGIJfNGKQ,0
1022,OOfIkJuktyo,0
1023,op-EqjKdva8,0
1025,oR2wmjMARiA,0
1028,oSwVhi8dN7E,0
1029,OtjIXJjhU7U,0
1030,OtmCdcxBtuc,0
1031,oTXzTl3Xy4Q,0
1034,OVAKA1zQr28,0
1035,ow3Z9d6V0xU,0
1036,oWDCZUlfq0Y,0
1038,OYfyNMLZuAA,0
1039,OYQJCefhTrI,0
1044,p4mB5X2hbZ0,0
1045,p4PYGLxyczU,0
1051,p8jWy-nGe88,0
1052,p8np1PJx6XA,0
1053,p9HRoE53OqY,0
1054,P9nWpV2Zaps,0
1055,P9xr7ejGVfA,0
1057,pDSHWcmZ-OY,0
1058,pffkRc4pEFM,0
1059,PfgvSMOSpsY,0
1060,PGANQ3dAtpc,0
1061,PGdJGgsGnSY,0
1062,PhiGD0Ka2BE,0
1065,pIY2TTAXJyM,0
1066,pIY8jciYQM4,0
1067,PlhqdrUOQqw,0
1073,PNSM4AvlR5E,0
1079,PSEgR2yQGGc,0
1080,pSH3kshvVuY,0
1081,PsnvARQH5qY,0
1086,PVVS0VijwDs,0
1088,px96X4DJBFg,0
1089,PXWLk5rHLvo,0
1092,pzH-jgGdy6U,0
1094,pzjijL-6-eM,0
1098,q53XkTF1KI0,0
1100,Q5Uybu3lTIM,0
1104,Q80xWVor2jw,0
1105,Q8DrKOQbK4E,0
1107,qAkN4WXmego,0
1110,QbqnekDofUM,0
1111,QbSewx89mGw,0
1112,qbUbbd213jo,0
1115,qDdzd2waoBo,0
1118,Qdyu0W3OXV4,0
1120,qeA9Z76deDo,0
1122,QfeWaU7loP4,0
1123,QGeaoFNBiDI,0
1127,QI4VqnxBOVo,0
1129,qJ7uhyJ2478,0
1131,QJRT-83bqUQ,0
1132,QjvNH7qVNDU,0
1134,qm9mjH253Xk,0
1136,qMScDz2a414,0
1138,QO2oL2dQSgg,0
1140,qORjRgxIjy4,0
1141,Qpeckr2l7Ws,0
1144,qr7v725ljG8,0
1145,QREptMMLpQw,0
1147,qrkrvdduHNQ,0
1148,qtANuTon93Y,0
1149,QtKuRVkQkP0,0
1151,QUPDQhyYje4,0
1152,qvhtW7bDk2M,0
1153,qviYVr76bVI,0
1154,QVR0LpeC4Fo,0
1156,QW4eIKLLxTI,0
1157,QX0ZanwP0zE,0
1160,qXvm2bjHLlg,0
1161,Qy2SRM46mXk,0
1167,R3J5hDL4xfk,0
1170,R8bQq3Ave-4,0
1174,rBwPqpJYLx0,0
1175,rCBLJ80-rsw,0
1178,rDNe45yYxzk,0
1179,rDPSUKkJUz8,0
1180,rdtCwFO3oTE,0
1181,reEUuz2g4sM,0
1182,rERhozIEVw8,0
1184,rFEPHGwno-4,0
1187,rFPCdh2PtFQ,0
1191,RJ2M6gKARNI,0
1198,rogLVWc2wm4,0
1199,Rpd-qPK9iJo,0
1205,RUAdSIVneDw,0
1209,rwYzkfDMDnY,0
1211,RXUg7LbQJn0,0
1212,ryjQlDq4-fk,0
1213,RYk0UHpagVY,1213
1214,rz-G54JXF90,0
1216,rZTC7PtVzzA,0
1217,S0ht4x3eK1w,0
1220,S3anIG3MJtM,0
1221,s4EorcmqVMc,0
1223,S7PtL6E9Odw,0
1226,SBYZfMK-R2s,0
1227,sc8312t4us0,0
1230,se3ihwZ56Uw,0
1231,sE6J0mSnpdk,0
1234,sGUmJBjfrSw,0
1237,shVkMnLxR8g,0
1240,SlpSgxENsy8,0
1241,sMX2cRfYAZ0,0
1242,sN-DOOoGIvo,0
1243,Sn2s-NfEVXY,0
1244,SNlK6PVbJ0o,0
1245,SoEmYvJw4xM,0
1246,SqlQ6Empyjs,0
1248,SRPOAHXNTLU,0
1249,SSJAZsQSaws,0
1252,SukN7WitLZU,0
1254,sVwhUPf-JYc,0
1257,swonWu1h7Y8,0
1258,sx0RYZr2Wv8,0
1259,SXNxE3-YRKI,0
1260,t-I-xDDpeP8,0
1262,T260mGpylSI,0
1264,T3YFrFdHFUc,0
1265,t4tE-DWCWs4,0
1267,T8EzMomqTnQ,0
1268,T93pHt5k8Hk,0
1269,TAM6nd1DKd0,0
1271,tbgZ5fwucz0,0
1272,tbjs3aWHTfI,0
1274,tclNXDuRKnQ,0
1276,Td7Jmwtaxzo,0
1277,TdBpD9Ccg9w,0
1282,Tf7SkmozWcE,0
1283,tfcjf4J6SEY,0
1286,Tg1CoPWWr24,0
1289,tgBQPxTbYFg,0
1294,tITY5zfwbLI,0
1295,TJNvukexlms,0
1298,tLFTDxAYYCY,0
1299,tMeXucOIzJ4,0
1301,tMX68AzESS4,0
1302,tOyDVsyaxbM,0
1303,tpz6iD7dZ0g,1303
1310,TuMsrgJMn90,0
1317,U-jUJwmLEu8,0
1318,u-RPLMo8-is,0
1320,U0SxSqywTZs,0
1321,u28KRAtE0-c,0
1322,U2VysJmqOYw,0
1323,U4T7zVNeswc,0
1326,ubnKmEPzhS8,0
1329,ucoWfvXfyAI,0
1330,ud8jOg0zzcI,0
1331,uEKQtD2VACY,0
1332,uF1cbiFTSUs,0
1336,UHPjan6pNxA,0
1340,uIxxIDfUawE,0
1345,uME6USnBPE4,0
1348,uoyVSFKIKr0,0
1349,upa9PQmviqY,0
1353,uRRY2QHdaGw,0
1356,uunjC8dKlpc,0
1361,uXpYHJlTvCo,0
1362,uYBC0Q0Go30,0
1363,uyU9Oqh5f0I,0
1364,UZc3svA3KDM,0
1365,V-9iFZp6PlA,0
1368,v1WAWCXRU6g,0
1371,V6t5pZEvqsY,0
1372,v74ht8uLWRs,0
1377,VBbIBYg6Sls,0
1379,vbpT4fA3P6o,0
1380,VbYr0tWZn4k,0
1383,vCSQB-aGDRU,0
1388,VG5PW88VlzA,0
1394,VL7HapaPw84,0
1398,VnovSmlbTTk,0
1399,Vo4jQ4rafmk,0
1400,vOhRdXC5IBc,0
1401,vp5iRqEPbgM,0
1402,vPbHGo3cq-c,0
1405,vR7jkTRApuA,0
1408,vrj5t0CIKV4,0
1409,VRSvF8vTCys,0
1413,Vt44Dtj-rAE,0
1415,VTzMiEnhYqI,0
1416,vWJtXpvapSw,0
1418,VWqNsvZaE0M,0
1420,vYAkZCcourM,0
1421,vzEiNulmkXU,0
1422,W-2Ohisa0eI,0
1424,W1TVuA6v0xI,0
1426,W5ZRsgwi9ec,0
1428,w6gzU8YyQDg,0
1431,wBizISf2Kq4,0
1433,wDLjcTTei6k,0
1435,WeMS3J4oe1g,0
1436,wF2wVuXkdT4,0
1437,wFBxwjHJ4tE,0
1442,wHVoxfmf9rA,0
1443,wIX7Y--cc7k,0
1444,WkpcynCpJvs,0
1445,Wl6JeIEhg7Q,0
1446,wlwtsE3xfOI,0
1448,WOAS8pCpAyk,0
1449,wp-IZPJrebE,0
1450,WPjCctDZPUY,0
1452,wqrMgWi5T28,0
1455,wsmHMJxt1u0,0
1459,wUk00Zi6F3o,0
1461,wwZ50ufItt0,0
1464,x03GlOJVW6E,0
1466,x2iLzWjj38A,0
1468,X3EvlFzyI-0,0
1472,XACM6bU82Qg,0
1474,XcBijcKzi7M,0
1476,xCnYqG68vtA,0
1478,xdN4FpM3jXo,0
1479,XDncg9nRU7M,1479
1483,XFFYSAvMveM,0
1484,XG6LbYMcvE0,0
1485,xGdyoMlJdXs,0
1487,xGNfCHisLOE,0
1489,xI0tT0dY95E,0
1492,XiLD8LWcfk8,0
1493,xK3dEIDufRU,0
1494,XkM1pbKWqAs,0
1495,xleZZevNyAM,0
1497,xLRUuV1z3QA,0
1498,xM0OVWWYYik,0
1499,XMqKIGEkbjo,0
1500,XnaMnmu5mnw,0
1502,XNgJwT4VOuM,0
1503,xNhA51sUnvI,0
1506,XPGtwnj7A80,0
1508,xQWzywuG7hM,0
1510,xsdrqauYhJs,0
1512,Xtsmi08j9tE,0
1515,XvfFQn44bhA,0
1517,XvuS1l6lQvc,0
1520,xY4RPeU0ON8,0
1532,y1kLiwNBDJg,0
1533,y35tHqjM22c,0
1534,y5-C4t1fRd4,0
1536,YaegOw8i5Tw,0
1537,yaMZvpaTqJE,0
1538,yAUQBnbyT4Q,0
1540,YBqSlyHFadc,0
1544,yDc5z3agRlE,0
1545,YFfQPTrcmkI,0
1547,ygI5w-4r-6g,0
1549,yHYpKR8hp9U,0
1550,yIAqaO8Fhmo,0
1551,YigLesBBxNE,0
1552,yJLskAcJxl0,0
1553,YK8Z27S7UAI,0
1554,YLWtilVsugQ,0
1555,YMX3um2jZ2U,0
1556,YN9k5uauF2o,0
1557,ynyjo4mab6g,0
1561,yqwzODrkOHQ,0
1566,YtWrmMYVdTE,0
1568,YUkBAIDkeV0,0
1569,Yv-lDbOdTB4,0
1570,YVvMHUW2T3c,0
1573,ywQO26yfZ0Q,0
1577,z0EwSmWQXqo,0
1578,Z0eWuVFxTy8,0
1581,Z7vQ-gHzUPk,0
1582,Z80HYfIqdyA,0
1583,Z8US9cm5oD0,0
1584,Z9guj-A3gc0,0
1586,z9T6v3e1wQQ,0
1587,Z9xhd0ZbABo,0
1588,zA-MmZShXSM,0
1590,ZARCwiX-A0Y,0
1594,Zck4p8XC3pI,0
1595,zcZkPBFKQbQ,0
1597,zdG3JgdTb8E,0
1598,ZefqWVah4rs,0
1599,zFUHifh-CWg,0
1600,zh4YCEJ3Rm8,0
1601,zHupv-ZNi0Y,0
1603,zKUW8kqULIc,0
1605,zLkvlzypftY,0
1607,zMdAi3xo7Us,0
1608,ZmNQ6kMVb-g,0
1614,ZOZslTEUt7M,0
1618,zrrqDli62kE,0
1620,ZTTEkAxEnUs,0
1622,zujZagp-4jQ,0
1623,ZuvChCAjbak,0
1624,ZxpwgIZg4lI,0
1625,zz1YMml9Z6k,0
